epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,2047.72,4.08474,4.73394,3.16332,0.00224,1.49853,0.53778,0.54793,0.48413,0.14958,0.43076,0.48769,0.37728,0.10459,4.57604,4.91871,3.21001,0.00315,0,5.15366e-05,5.15366e-05,5.15366e-05
76,2074.97,6.00972,6.22854,4.57736,0.00319,2.63727,0.53664,0.54831,0.48761,0.1524,0.42178,0.49417,0.3799,0.10478,4.58212,4.95388,3.0935,0.00314,0,5.05e-05,5.05e-05,5.05e-05
77,2105.73,3.98199,4.101,3.52421,0.00188,1.67044,0.54889,0.54728,0.49549,0.15268,0.43486,0.47604,0.37995,0.10458,4.57226,4.9644,3.12404,0.00314,0,4.94634e-05,4.94634e-05,4.94634e-05
78,2135.03,4.35784,4.74351,4.03432,0.00232,2.07444,0.55087,0.53562,0.49067,0.14943,0.42894,0.4579,0.36024,0.09664,4.59878,4.95285,3.11973,0.00315,0,4.84272e-05,4.84272e-05,4.84272e-05
79,2161.65,5.61314,5.6333,4.04736,0.00256,2.98173,0.53566,0.56185,0.49576,0.14931,0.41476,0.47798,0.36146,0.1004,4.59217,4.89744,3.12636,0.00315,0,4.73919e-05,4.73919e-05,4.73919e-05
80,2191.09,6.04708,5.98614,4.9253,0.00297,2.7936,0.52936,0.54922,0.48405,0.14885,0.43245,0.5013,0.38333,0.11053,4.62229,4.88726,3.0473,0.00319,0,4.63579e-05,4.63579e-05,4.63579e-05
81,2218.76,5.01166,5.33801,4.05864,0.00291,2.5062,0.53225,0.56023,0.4901,0.15015,0.43468,0.49611,0.37356,0.10466,4.63038,4.95265,3.00904,0.0032,0,4.53258e-05,4.53258e-05,4.53258e-05
82,2246.62,5.12602,5.10884,3.44689,0.00229,2.41161,0.55219,0.55311,0.4962,0.14968,0.42131,0.48057,0.35564,0.09532,4.60868,5.03549,3.18941,0.00318,0,4.4296e-05,4.4296e-05,4.4296e-05
83,2273.98,5.03288,4.99691,3.80328,0.00254,2.51775,0.54304,0.54878,0.48973,0.15071,0.40486,0.49417,0.35578,0.09386,4.5892,4.94868,3.07278,0.00317,0,4.32689e-05,4.32689e-05,4.32689e-05
84,2301.86,5.47017,5.69873,4.04453,0.0026,2.27792,0.53779,0.55829,0.49056,0.15019,0.41529,0.47733,0.35274,0.09233,4.60123,4.9297,3.11676,0.00317,0,4.22449e-05,4.22449e-05,4.22449e-05
85,2329.89,5.71763,6.16538,4.23498,0.00293,2.83619,0.53241,0.56541,0.49172,0.15294,0.43235,0.49231,0.36917,0.09806,4.57925,4.92582,3.09453,0.00317,0,4.12246e-05,4.12246e-05,4.12246e-05
86,2357.44,5.74875,6.23304,4.72235,0.00305,3.27249,0.54906,0.56671,0.49749,0.15564,0.44543,0.5149,0.39405,0.11025,4.55041,4.93863,2.99598,0.00317,0,4.02084e-05,4.02084e-05,4.02084e-05
87,2386.65,6.06428,6.59694,4.46384,0.00364,2.31217,0.54198,0.5829,0.50331,0.15596,0.48426,0.53109,0.43571,0.12217,4.53929,4.87607,3.00007,0.00315,0,3.91966e-05,3.91966e-05,3.91966e-05
88,2414.64,5.76351,6.05873,4.15155,0.00298,2.56252,0.54933,0.56736,0.50098,0.15635,0.47355,0.51231,0.41713,0.11803,4.53871,4.82179,2.99367,0.00316,0,3.81899e-05,3.81899e-05,3.81899e-05
89,2442.62,4.86934,5.14891,3.32432,0.00238,2.03439,0.52586,0.56218,0.48571,0.151,0.40964,0.49482,0.35584,0.09856,4.58293,4.89472,2.98638,0.00315,0,3.71885e-05,3.71885e-05,3.71885e-05
90,2471.13,6.32856,6.6411,4.65052,0.00307,2.24874,0.52699,0.56347,0.4819,0.14831,0.39296,0.49288,0.34417,0.09566,4.612,4.87839,3.00566,0.00318,0,3.61929e-05,3.61929e-05,3.61929e-05
91,2500.98,4.68188,4.52673,3.77979,0.00309,1.88162,0.53183,0.58638,0.49987,0.15452,0.4418,0.52267,0.38578,0.10623,4.55308,4.84871,3.0244,0.00317,0,3.52037e-05,3.52037e-05,3.52037e-05
92,2527.79,6.02282,6.91838,4.24217,0.0031,2.65425,0.52175,0.56386,0.48652,0.15207,0.45019,0.52267,0.3991,0.11157,4.54519,4.87317,3.01247,0.00317,0,3.42211e-05,3.42211e-05,3.42211e-05
93,2555.77,4.50887,5.03655,4.21375,0.00258,2.38029,0.53105,0.57578,0.49817,0.15578,0.4454,0.52461,0.40298,0.1168,4.52802,4.88078,2.95263,0.00314,0,3.32457e-05,3.32457e-05,3.32457e-05
94,2584.69,5.61896,6.52722,4.37345,0.0027,2.81974,0.52996,0.56606,0.49089,0.15514,0.46975,0.53189,0.42621,0.12333,4.50873,4.89553,3.00757,0.00314,0,3.22778e-05,3.22778e-05,3.22778e-05
95,2613.57,6.05817,6.14672,5.13445,0.00354,2.75903,0.53195,0.57513,0.49926,0.15419,0.46609,0.5285,0.41717,0.11979,4.52119,4.86503,2.96232,0.00316,0,3.1318e-05,3.1318e-05,3.1318e-05
96,2640.64,5.34314,6.02002,3.51816,0.00244,2.32127,0.5413,0.57189,0.49911,0.15451,0.45423,0.52785,0.40699,0.1177,4.53189,4.85679,2.93352,0.00316,0,3.03665e-05,3.03665e-05,3.03665e-05
97,2669.23,5.29956,5.44525,3.64143,0.00302,2.1102,0.53985,0.58549,0.50227,0.15615,0.4401,0.51231,0.38654,0.10924,4.54406,4.84922,2.97312,0.00316,0,2.94239e-05,2.94239e-05,2.94239e-05
98,2697.68,5.05893,5.71548,3.63137,0.00294,1.86199,0.54679,0.58225,0.51009,0.15848,0.44871,0.51813,0.39327,0.11022,4.52207,4.82992,2.96848,0.00314,0,2.84906e-05,2.84906e-05,2.84906e-05
99,2725.73,7.04898,7.58321,5.45926,0.00342,2.48335,0.54904,0.58679,0.51635,0.1611,0.46054,0.52748,0.40612,0.1165,4.50774,4.81147,2.94332,0.00312,0,2.75668e-05,2.75668e-05,2.75668e-05
100,2753.78,7.0085,6.83691,4.93723,0.00335,3.09611,0.55578,0.59153,0.52178,0.1621,0.47234,0.52468,0.4086,0.1161,4.52179,4.82133,3.01502,0.00311,0,2.66532e-05,2.66532e-05,2.66532e-05
101,2782.85,5.30812,5.33088,3.80414,0.00257,2.15636,0.55584,0.58679,0.52114,0.16125,0.44874,0.50981,0.38542,0.10814,4.52715,4.87643,2.98608,0.00312,0,2.575e-05,2.575e-05,2.575e-05
102,2809.46,6.01942,6.40061,4.94135,0.00328,2.98868,0.55215,0.57448,0.51595,0.15962,0.43295,0.49935,0.37088,0.10443,4.55176,4.83816,2.98579,0.00313,0,2.48577e-05,2.48577e-05,2.48577e-05
