epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
105,3036.72,4.32606,4.63257,2.73816,0.00245,1.76322,0.59227,0.61435,0.56311,0.1788,0.43607,0.50834,0.36994,0.10418,3.3231,3.54371,1.76517,0.00242,0,0.000222497,0.000222497,0.000222497
106,3064.54,3.09007,3.05496,1.79993,0.00214,1.18934,0.6085,0.60881,0.57461,0.18701,0.47797,0.5136,0.41004,0.11743,3.32935,3.55287,1.71731,0.00247,0,0.000214046,0.000214046,0.000214046
107,3095.07,3.50085,4.00641,2.41675,0.00219,1.34885,0.60309,0.60751,0.57667,0.18896,0.50879,0.53174,0.44918,0.13153,3.27646,3.54905,1.7354,0.00243,0,0.000205723,0.000205723,0.000205723
108,3123.9,4.14102,4.26349,2.35151,0.00249,1.68714,0.6172,0.61658,0.58165,0.18809,0.51257,0.54534,0.44678,0.13216,3.2588,3.55617,1.75585,0.0024,0,0.000197532,0.000197532,0.000197532
109,3153.03,3.21993,3.39505,2.03208,0.00171,1.5962,0.62346,0.63212,0.58122,0.18856,0.50663,0.57254,0.45496,0.13442,3.27381,3.53348,1.80576,0.0024,0,0.000189475,0.000189475,0.000189475
110,3181.09,4.639,5.10693,2.92846,0.00229,1.68808,0.61869,0.64119,0.58526,0.19115,0.49998,0.56472,0.44573,0.1317,3.25157,3.52979,1.73951,0.00238,0,0.000181557,0.000181557,0.000181557
111,3209.85,2.95513,3.48998,1.85993,0.00172,1.41971,0.61968,0.62953,0.58533,0.19413,0.50835,0.53627,0.43981,0.12861,3.27601,3.55363,1.71039,0.0024,0,0.00017378,0.00017378,0.00017378
112,3238.03,3.26428,3.5838,1.90033,0.00164,1.28163,0.60602,0.62047,0.58347,0.19721,0.49035,0.52843,0.44158,0.13308,3.28839,3.55152,1.75195,0.00242,0,0.000166149,0.000166149,0.000166149
113,3265.99,3.95055,4.07863,2.21675,0.00199,1.48856,0.60695,0.60308,0.58186,0.19678,0.48848,0.52332,0.44281,0.13153,3.288,3.56182,1.72383,0.00242,0,0.000158667,0.000158667,0.000158667
114,3296.76,3.89206,4.16587,2.4461,0.00238,1.74947,0.61498,0.60828,0.59142,0.1981,0.50471,0.53525,0.46175,0.13754,3.2529,3.49313,1.71401,0.00239,0,0.000151336,0.000151336,0.000151336
115,3323.53,3.50065,3.75572,2.00237,0.00198,1.34342,0.6208,0.61917,0.59844,0.20047,0.51651,0.5421,0.47191,0.1402,3.2383,3.46075,1.71993,0.00238,0,0.000144161,0.000144161,0.000144161
116,3351.08,2.55054,2.69723,1.75107,0.00131,0.85195,0.62594,0.62426,0.59805,0.19748,0.52715,0.53821,0.4581,0.13281,3.24292,3.45976,1.70062,0.00238,0,0.000137143,0.000137143,0.000137143
117,3381.28,3.65964,4.37232,2.20389,0.00215,1.48729,0.62347,0.62094,0.58514,0.19056,0.4874,0.53562,0.42403,0.11883,3.23372,3.4507,1.70612,0.00235,0,0.000130287,0.000130287,0.000130287
