
--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-11 08:02:20.640849 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
14:31:50 | 27.57 | 224.20 | 27.01
14:32:08 | 27.73 | 224.04 | 27.03
14:32:25 | 27.65 | 224.12 | 27.06
14:32:42 | 27.66 | 224.11 | 27.08
14:33:00 | 27.71 | 224.05 | 27.10
14:33:17 | 27.76 | 224.00 | 27.12
14:33:34 | 27.77 | 224.00 | 27.14
14:33:52 | 27.78 | 223.99 | 27.16
14:34:09 | 27.77 | 224.00 | 27.18
14:34:27 | 27.92 | 223.84 | 27.21
14:34:44 | 27.81 | 223.95 | 27.23
14:35:01 | 27.80 | 223.97 | 27.25
14:35:19 | 27.82 | 223.95 | 27.27
14:35:36 | 27.93 | 223.84 | 27.29
14:35:53 | 27.83 | 223.94 | 27.31
14:36:11 | 27.86 | 223.91 | 27.33
14:36:29 | 27.87 | 223.89 | 27.35
14:36:46 | 28.02 | 223.75 | 27.37
14:37:04 | 27.97 | 223.79 | 27.39
14:37:21 | 27.98 | 223.78 | 27.41
14:37:39 | 27.96 | 223.81 | 27.43
14:37:56 | 28.09 | 223.68 | 27.45
14:38:14 | 28.04 | 223.72 | 27.47
14:38:31 | 28.08 | 223.69 | 27.49
14:38:49 | 28.08 | 223.69 | 27.51
14:39:06 | 28.26 | 223.51 | 27.53
14:39:24 | 28.20 | 223.57 | 27.55
14:39:42 | 28.20 | 223.56 | 27.57
14:39:59 | 28.19 | 223.58 | 27.60
14:40:17 | 28.41 | 223.35 | 27.62
14:40:35 | 28.28 | 223.49 | 27.64
14:40:52 | 28.26 | 223.51 | 27.66
14:41:10 | 28.26 | 223.50 | 27.68
14:41:28 | 28.32 | 223.45 | 27.70
14:41:45 | 28.31 | 223.46 | 27.72
14:42:03 | 28.34 | 223.43 | 27.75
14:42:21 | 28.34 | 223.43 | 27.77
14:42:39 | 28.41 | 223.36 | 27.79
14:42:56 | 28.41 | 223.35 | 27.81
14:43:14 | 28.44 | 223.33 | 27.83
14:43:32 | 28.48 | 223.29 | 27.85
14:43:49 | 28.52 | 223.25 | 27.87
14:44:07 | 28.55 | 223.22 | 27.89
14:44:25 | 28.56 | 223.20 | 27.92
14:44:43 | 28.57 | 223.20 | 27.94
14:45:01 | 28.63 | 223.14 | 27.96
14:45:19 | 28.66 | 223.11 | 27.98
14:45:36 | 28.66 | 223.11 | 28.00
14:45:54 | 28.98 | 222.78 | 28.02
14:46:12 | 28.79 | 222.97 | 28.04
14:46:30 | 28.80 | 222.97 | 28.06
14:46:48 | 28.66 | 223.10 | 28.08
14:47:06 | 28.82 | 222.95 | 28.10
14:47:24 | 28.76 | 223.01 | 28.15
14:47:42 | 28.78 | 222.99 | 28.17
14:48:00 | 28.80 | 222.96 | 28.19
14:48:19 | 28.87 | 222.89 | 28.21
14:48:37 | 28.87 | 222.90 | 28.23
14:48:55 | 28.89 | 222.88 | 28.25
14:49:13 | 28.86 | 222.91 | 28.27
14:49:31 | 28.92 | 222.84 | 28.29
14:49:49 | 28.93 | 222.83 | 28.32
14:50:07 | 28.97 | 222.80 | 28.34
14:50:26 | 29.00 | 222.77 | 28.36
14:50:44 | 29.08 | 222.68 | 28.38
14:51:02 | 29.09 | 222.68 | 28.40
14:51:20 | 29.08 | 222.69 | 28.42
14:51:39 | 29.24 | 222.53 | 28.47
14:51:57 | 29.18 | 222.59 | 28.49
14:52:15 | 29.19 | 222.58 | 28.51
14:52:33 | 29.17 | 222.59 | 28.53
14:52:52 | 29.35 | 222.42 | 28.55
14:53:10 | 29.24 | 222.52 | 28.57
14:53:28 | 29.26 | 222.51 | 28.59
14:53:47 | 29.27 | 222.49 | 28.61
14:54:05 | 29.39 | 222.37 | 28.64
14:54:24 | 29.39 | 222.38 | 28.66
14:54:42 | 29.40 | 222.37 | 28.71
14:55:00 | 29.41 | 222.36 | 28.73
14:55:19 | 29.50 | 222.27 | 28.75
14:55:37 | 29.49 | 222.28 | 28.78
